mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
DIST_REG_Parlier Cemetery District,"Parlier Cemetery District professionals excel at helping families create meaningful tributes
that truly celebrate the lives of the individuals they represent. We’re dedicated to helping
families through one of the most challenging times in life, the loss of a loved one. The
professionals at the Parlier Cemetery will help you create a truly personalized ceremony to
celebrate a special life and cherished family traditions. Parlier Cemetery District offers
several types of burial option to help you memorialize the lives of your loved ones for year to
come. Having a permanent place - in a cemetery, mausoleum that can be visited regularly
by family and friends is an essential part of the time following a death. It becomes a focal
point of memorialization, and gives everyone a special place to go to remember your loved
one, or to commemorate important occasions. ",Yes,Cultural,,,,http://www.fresnolafco.org/documents/MSRs/Final_Parlier%20CD%20MSR_09132017.pdf,Yes,Stated on a PDF not on the website
DIST_REG_Piru Cemetery District,,No,Cultural,,,,https://www.vcsda.org/cemetery-memorial-districts,,
DIST_REG_Plainsburg Cemetery District,,No,Cultural,,,,https://www.co.merced.ca.us/1329/Cemetery-District-Boards,,
DIST_REG_Pleasant Hill Recreation and Park District,"PHRPD's mission is to improve the quality of life for our local community by providing a wide variety of affordable and convenient recreation, sports, health, enrichment, educational and wellness programs, activities and events for all ages.",Yes,Recreation/parks/Trails/greenways,,,,"https://pleasanthillrecbigpic.com/about-big-pic.html#:~:text=PHRPD's%20mission%20is%20to%20improve,and%20events%20for%20all%20ages.",,
DIST_REG_Pleasant Valley Recreation and Park District,"Pleasant Valley Recreation & Park District will provide and maintain a full range of quality facilities and programs focused on leisure, recreational and athletic activities for residents of the District. Facilities will support both organized activities and casual use and will address the interests and needs of all age groups.",Yes,Recreation/parks/Trails/greenways,,,,https://www.pvrpd.org/our-mission,,
DIST_REG_Port San Luis Harbor District,"Our mission is to serve the public with an array of commercial and recreational boating, fishing and coastal-related opportunities, while ensuring an environmentally responsible, safe, well-managed and financially sustainable harbor that preserves our marine heritage and character.",Yes,Recreation/parks/Trails/greenways,Watershed protection,,,https://www.portsanluis.com/2178/Mission-Statement,,
DIST_REG_Port of Los Angeles,We deliver value to our customers by providing superior infrastructure and promoting efficient operations that maintain our essential role in the nation’s economy and transportation network as North America’s preferred gateway and a catalyst for job growth.,Yes,Watershed protection,Cultural,Other,,https://www.portoflosangeles.org/about,Yes,Economic priority
DIST_REG_Porterville Public Cemetery District,The mission of the Porterville Public Cemetery District is to provide burial services for those families within our jurisdictional boundaries and anyone with eligible right established by the Health & Safety Code in a dignified and respectful manner.,Yes,Cultural,,,,https://portervillecemetery.com/about-us/,,
DIST_REG_Puente Hills Habitat Preservation Authority (Habitat Authority),,,,,,,,Yes,Duplicate
DIST_REG_Rancho Rinconada Recreation and Park District,,No,Recreation/parks/Trails/greenways,,,,https://www.cupertino.org/our-city/departments/parks-recreation/who-we-are/projects/rancho-rinconada-recreation-park-district,,
DIST_REG_Rancho Simi Open Space Conservation Agency,,No,Open space,,,,https://www.simivalley.org/departments/city-manager-s-office/live-green/open-space-management,Yes,Not sure if this is the right organization but couldn't find anything for the local name listed.
DIST_REG_Rancho Simi Recreation and Park District,"Rancho Simi Recreation and Park District is committed to providing safe parks, promoting a healthy lifestyle through recreational activities and amenities, and preserving open space, trails and community history.",Yes,Recreation/parks/Trails/greenways,,,,https://www.rsrpd.org/about_us/mission_statement.php,,
DIST_REG_Reedley Cemetery District,"To provide a final resting place for loved ones in a dignified and caring manner.  To provide a cost effective burial that meets the cultural, economic requirements, and social needs of all residents.  To care for the upkeep and maintenance of the cemetery grounds so that it is a serene setting for loved ones visiting graves.  To preserve the beauty, tranquility and heritage of the cemetery while growing with the community.",Yes,Cultural,,,,http://www.reedleycemetery.com/AboutUs.htm,,
DIST_REG_Ridgecrest Ranchos Recreation and Park District,,No,Recreation/parks/Trails/greenways,,,,https://www.runforoffice.org/elected_offices/18892-ridgecrest-ranchos-recreation-and-parks-district-board-member-seat-1,,
DIST_REG_Rim of the World Recreation and Park District,"To help enrich and fulfill the lives of the citizens through the provision of facilities and programs that will provide and enhance creative, wholesome and imaginative leisure time living patterns.",Yes,Recreation/parks/Trails/greenways,,,,https://www.rim-rec.org/mission-statement,,
DIST_REG_Rio Linda Elverta Recreation and Park District,"Ensuring Parks, Recreation, Habitat, and Open Space for our Future.",Yes,Recreation/parks/Trails/greenways,Open space,,,https://www.rleparks.com/,,
DIST_REG_Riverside-Corona Resource Conservation District,"The Riverside-Corona Resource Conservation District (RCRCD) works to sustain natural resources and helps others conserve resources, so that high quality water, land, soil, wildlife, air and plant life will be abundant forever.

The district advocates that each acre of land be managed according to its needs. District programs foster the sustainable use of natural resources for each land use, including native habitats, urban/suburban areas, and agriculture.",Yes,Wildlife habitat,,,,https://www.rcrcd.org/mission-statement,,
DIST_REG_Rosamond Community Services District,"Our Core Mission is to bring a better quality of life to our community of Rosamond by providing essential services at the best cost while striving, in everything that we do, to be protective and prudent with our community's resources and money.",Yes,Watershed protection,,,,https://www.rosamondcsd.com/about-us,,
DIST_REG_Rose Hills Memorial Park Association,,No,Cultural,,,,https://www.rosehills.com/,,
DIST_REG_Rossmore Community Services District,"The mission of the Rossmoor Community Services District is to provide superior, cost-effective, services that enhance the quality of life for the residents of Rossmoor.",Yes,Forest,Recreation/parks/Trails/greenways,,,https://www.rossmoor-csd.org:8443/About-Us/Mission-Statement,,
DIST_REG_Russian River Recreation and Park District,,No,Watershed protection,,,,https://russianriverrecpark.org/,,
DIST_REG_Sacramento Area Flood Control Agency,The Sacramento Area Flood Control Agency's (SAFCA) mission is to provide the region with at least a 100-year level of flood protection as quickly as possible while seeking a 200-year or greater level of protection over time,Yes,Watershed protection,,,,https://waterresources.saccounty.net/stormready/Pages/Local-Agencies.aspx,,
DIST_REG_Sacramento Housing and Redevelopment Agency,"Our mission is to revitalize communities, provide affordable housing opportunities and to serve as the Housing Authority for the City and County of Sacramento.",Yes,Cultural,,,,https://www.shra.org/about-shra/,,
DIST_REG_Sacramento Municipal Utility District,,No,Energy ,,,,https://www.smud.org/en/Corporate/Environmental-Leadership/Clean-PowerCity,,
DIST_REG_Sacramento Regional County Sanitation District,"Regional San protects public health and the environment by conveying, treating, and recovering resources from wastewater responsibly and cost-effectively.",Yes,Watershed protection,,,,https://www.regionalsan.com/about-us,Yes,I think this is the same organization with a different name. 
DIST_REG_Sacramento and San Joaquin Drainage District,,No,Watershed protection,,,,https://mavensnotebook.com/2020/05/12/central-valley-flood-protection-board-sacramento-san-joaquin-drainage-district-feasibility-study/,,
DIST_REG_Salton Community Services District,"The District was created in 1955 to supply the residents and businesses of Salton City and Desert Shores Communities on the West Shores of the Salton Sea. Services included fire protection, sanitation services, parks & recreational work, sewage maintenance, and any other services that may become necessary. In 1957 the name was changed to Salton Community Services District. The District’s goal is to provide the highest quality facilities and services throughout the District’s area in the most efficient and economical way possible. Management and staff are committed to professional and courteous customer service.",Yes,Recreation/parks/Trails/greenways,Watershed protection,Cultural,,https://saltoncsd.ca.gov/our-mission,,
